participant_id,age_group,site_version,session_id,locate_product_ms,add_to_basket_ms,complete_checkout_ms,total_ms,included
P001,65+,B,sess_1785784181857_i0v28fe,6388,4428,69421,80237,Yes
P002,65+,B,sess_1785784351060_2h0l414,7551,7951,64503,80005,Yes
P003,65+,B,sess_1785784469691_06ap9ra,13466,5846,84648,103960,Yes
P004,65+,B,sess_1785784660818_fw74lj4,4846,3134,121968,129948,Yes
P005,65+,B,sess_1785784841601_g8s1krk,5846,2137,62874,70857,Yes
P006,18-25,A,sess_1785759811750_03h7b21,12641,3835,110931,127407,Yes
P007,18-25,A,sess_1785759811750_03h7b21,8931,5387,117551,131869,Yes
P008,18-25,A,sess_1785759811750_03h7b21,16440,6887,86116,109443,Yes
P009,18-25,A,sess_1785759811750_03h7b21,12950,4769,68514,86233,Yes
P010,18-25,A,sess_1785759811750_03h7b21,11209,4605,62075,77889,Yes
P011,65+,A,sess_1785779493660_w2e74a9,43520,38025,197819,279364,Yes
P012,65+,A,sess_1785759393911_a3yx58l,62651,32732,152897,248280,Yes
P013,65+,A,sess_1785780300002_y11wqe9,63229,10373,173998,247600,Yes
P014,65+,A,sess_1785781818383_tdsj5ro,93318,92920,71654,257892,Yes
P015,65+,A,sess_1785784025815_9ywosu6,12832,10599,81021,104452,Yes
P016,18-25,B,sess_1785765159025_docr25l,2807,1630,38449,42886,Yes
P017,18-25,B,sess_1785765427281_9uxb322,2516,1820,48334,52670,Yes
P018,18-25,B,sess_1785765545238_a11opnj,2658,1714,48594,52966,Yes
P019,18-25,B,sess_1785765645237_xxd26yy,2264,2237,34017,38518,Yes
P020,18-25,B,sess_1785765718963_66c0jpg,2263,1736,39066,43065,Yes
